Date	Rootstock	Cultivar	Plant	Leave	SPAD	Obs	HHMMSS	FTime	EBal?	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo'	Fm'	Fs	Fv/Fm	Fv'/Fm'	PhiPS2	Adark	RedAbs	BlueAbs	%Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn@Fs	PS2/1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R(W/m2)	Tl-Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci/Ca	RHsfc	C2sfc	AHs/Cs	Fv	PARabs	Fv'	qP_Fo	qN_Fo	WUE
5/24/2020	G.41	Baigent	13	1	42.2	1	11:09:09	213.4999853	0	18.0	0.1	162.5	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	10.07062626	0.875035313	0.011418371	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.199432421	1.958411138	26.32050896	2	4.644859791	1	9.289719582	24.71294212	26.32050896	24.97610855	399.9993896	392.0866699	13.86160469	14.94329262	43.93355179	47.36190033	400.5897827	1600.004028	63.86083984	99.06615448	1.374213934	0.216648638	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002948914	0.002199432	299.470509	297.8629421	256.0006388	0.561483315	3.438785673	34.71201331	19.76872069	25.51672554	3.278961567	0.108495927	1.480374535	1.798587032	0.06792399	16.09559425	0.414380808	42.28145873	389.9088166	0.01625116	0	1400.060026	0	#DIV/0!	#DIV/0!	6.8
5/24/2020	G.41	Baigent	13	2	38.8	2	11:10:56	320.4999779	0	18.9	0.1	186.5	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	10.07062626	0.875035313	0.012081454	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.509447097	1.872870298	25.78989983	2	4.644859791	1	9.289719582	24.67877197	25.78989983	24.98123741	400.0443115	391.608429	13.49978542	14.7342701	42.87418365	46.79480362	400.5675049	1599.835693	93.24006653	99.06600952	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002837524	0.002509447	298.9398998	297.828772	255.9737052	0.529801807	3.33253564	33.63954656	18.90527646	25.2343359	3.224372636	0.129527401	1.459665342	1.764707294	0.081117211	18.47518038	0.476224777	43.21047453	389.2959237	0.017662848	0	1399.912727	0	#DIV/0!	#DIV/0!	6.3
5/24/2020	G.41	Cripps Pink	16	1	40.1	3	11:12:54	439.4999697	0	14.6	0.1	193.6	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	10.07062626	0.875035313	0.011153196	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.478558034	1.943672241	25.96780014	2	4.644859791	1	9.289719582	24.71812248	25.96780014	24.98159218	400.0079041	392.228241	13.15637207	14.37604332	41.6849556	45.5493927	400.5876465	1599.47937	80.99330139	99.06497192	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002938232	0.002478558	299.1178001	297.8681225	255.9166935	0.528573382	3.367834569	33.99621989	19.62017657	25.34296131	3.24527637	0.123271638	1.424162328	1.821114042	0.077192019	19.17454022	0.493475934	41.64154744	390.105084	0.015595388	0	1399.600931	0	#DIV/0!	#DIV/0!	5.9
5/24/2020	G.41	Cripps Pink	16	2	38.4	4	11:14:51	556.9999616	0	10.8	0.1	194.2	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.806609154	0.874903305	0.008395857	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	1.899850103	2.031768248	26.14711761	2	4.644859791	1	9.289719582	24.79077148	26.14711761	24.97976112	400.0293884	394.282196	12.91422367	13.84953022	40.73976517	43.69032288	400.6254578	1601.413086	69.99481964	99.06303406	1.374213934	0.216648638	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	2.003127289	0.00189985	299.2971176	297.9407715	256.226088	0.62676503	3.403744732	34.35938304	20.50985282	25.46894455	3.269668636	0.090398272	1.371976484	1.897692152	0.056578063	19.23454262	0.492451054	39.42868037	392.7180553	0.010806276	0	1401.081601	0	#DIV/0!	#DIV/0!	5.7
5/24/2020	G.11	Cripps Pink	7	1	46.3	5	11:16:39	664.9999542	0	13.4	0.1	172.1	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.806609154	0.874903305	0.01030112	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.226996694	2.115891219	26.53696251	2	4.644859791	1	9.289719582	24.86419106	26.53696251	24.97732925	400.0026855	392.8623657	12.70378017	13.80032444	39.89997482	43.34399414	400.579071	1600.714111	149.2746124	99.06141663	1.374213934	0.216648638	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002895355	0.002226997	299.6869625	298.0141911	256.1142521	0.553893164	3.482970908	35.15971229	21.35938785	25.70057678	3.314934374	0.101710769	1.367079689	1.947854685	0.063669439	17.04896083	0.438079521	38.40774308	390.9112138	0.013191694	0	1400.470066	0	#DIV/0!	#DIV/0!	6.0
5/24/2020	G.11	Cripps Pink	7	2	37.5	6	11:18:22	767.4999471	0	14.3	0.1	175.2	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.781396866	0.874890698	0.010940267	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.36799484	2.079422778	26.32531548	2	4.644859791	1	9.289719582	24.980896	26.32531548	24.9767704	400.0844421	392.4802551	12.56640244	13.73250771	39.1940155	42.83104324	400.5601196	1598.518311	126.7446594	99.05974579	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002800598	0.002367995	299.4753155	298.130896	255.762924	0.54282042	3.4397615	34.72410991	20.9916022	25.65310574	3.305613209	0.110073653	1.360338722	1.945274486	0.068913412	17.35684005	0.446432331	38.78052839	390.4021109	0.014205158	0	1398.528801	0	#DIV/0!	#DIV/0!	6.0
5/24/2020	G.41	Aztec Fuji	10	1	42.7	7	11:21:04	930.4999359	0	12.2	0.1	147.7	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	10.04473782	0.875022369	0.009442429	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	1.853280438	2.168233095	26.55911064	2	4.644859791	1	9.289719582	25.00279808	26.55911064	24.97742844	399.9632874	393.5038757	12.40484715	13.31789398	38.64021683	41.48429489	400.5487061	1598.491089	191.2835236	99.06121826	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.00274353	0.00185328	299.7091106	298.1527981	255.7585685	0.62359178	3.487519898	35.20570369	21.88780971	25.78095436	3.330769249	0.082617518	1.319286803	2.011482447	0.051702046	14.63094729	0.375335607	36.84956894	391.7298914	0.011483237	0	1398.715459	0	#DIV/0!	#DIV/0!	6.6
5/24/2020	G.41	Aztec Fuji	10	2	43.5	8	11:23:02	1047.999928	0	8.9	0.1	246.9	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.925830841	0.874962915	0.007081086	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.368485489	2.194581001	26.77135849	2	4.644859791	1	9.289719582	25.0755558	26.77135849	24.96754837	400.024231	395.1060486	12.32772255	13.49424171	38.23496246	41.85297394	400.5977173	1600.348633	175.9114532	99.0641861	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002988586	0.002368485	299.9213585	298.2255558	256.0557755	0.527445294	3.531377074	35.64736372	22.15312201	25.92345715	3.35900563	0.104287328	1.336796072	2.022209557	0.065284934	24.4590531	0.624898218	37.00461062	393.8104657	0.008377272	0	1400.245705	0	#DIV/0!	#DIV/0!	3.8
5/24/2020	G.11	Baigent	4	1	39.4	9	11:24:51	1157.49992	0	15.0	0.1	215.6	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.900345802	0.874950173	0.008590485	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	2.293804189	2.111546225	26.34563255	2	4.644859791	1	9.289719582	25.0838356	26.34563255	24.976408	399.9537048	393.9950256	12.31919956	13.44911385	38.19017792	41.69297409	400.5533142	1600.545776	187.9566193	99.06546783	1.374213934	0.216648638	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002766571	0.002293804	299.4956326	298.2338356	256.0873185	0.560940277	3.44388898	34.7637684	21.31465455	25.71473408	3.317718667	0.105022051	1.332342755	1.985375912	0.065745626	21.35770155	0.547194193	37.88288842	392.3921108	0.010648835	0	1400.397804	0	#DIV/0!	#DIV/0!	4.8
5/24/2020	G.11	Baigent	4	2	40.2	10	11:26:33	1259.999913	0	18.3	0.1	206.8	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	-1	0.87	0.92	9.900345802	0.874950173	0.011669355	#DIV/0!	#DIV/0!	#DIV/0!	0	0.5	#DIV/0!	3.030225145	2.087310939	26.42924118	2	4.644859791	1	9.289719582	25.07129669	26.42924118	24.97267532	400.0480957	391.7912292	12.37329006	13.86535263	38.3874054	43.01644135	400.5475464	1601.268921	203.9051056	99.06772614	1.374213934	0.216648638	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	2.002737732	0.003030225	299.5792412	298.2212967	256.2030216	0.427207743	3.460919896	34.93488779	21.06953516	25.75026894	3.324716253	0.140310988	1.373608957	1.951107296	0.087885182	20.48934718	0.527887304	39.11444327	389.5606651	0.015411525	0	1401.030519	0	#DIV/0!	#DIV/0!	5.1
